reporting_year,mean_hourly_gap_pct,median_hourly_gap_pct,mean_bonus_gap_pct,median_bonus_gap_pct,pct_female_lower_quartile,pct_female_lower_mid_quartile,pct_female_upper_mid_quartile,pct_female_upper_quartile,pct_receiving_bonus_male,pct_receiving_bonus_female,upper_quartile_change
2017,15.6,0.0,45.7,16.5,75.4,74.8,82.7,61.7,4.0,1.3,
2018,13.8,0.0,41.7,36.4,74.8,75.8,82.5,62.9,4.5,1.5,1.2
2019,14.7,0.0,35.1,31.9,74.4,77.7,80.9,61.8,4.7,1.6,-1.1
2020,22.4,15.6,40.6,29.1,55.0,51.0,47.7,35.2,5.0,1.4,-26.6
2021,17.4,0.0,71.1,90.0,75.7,77.7,81.5,65.8,0.2,0.2,30.6
2022,16.3,1.1,36.4,41.4,77.1,81.6,80.7,61.6,6.0,1.3,-4.2
2023,15.2,1.4,42.2,31.3,79.2,78.8,77.8,60.7,5.7,1.5,-0.9
2024,13.5,0.8,47.3,36.4,75.6,79.9,76.1,59.8,5.7,1.8,-0.9
2025,14.4,1.8,46.2,40.3,77.6,77.6,78.1,59.7,6.4,2.2,-0.1
